activity_nr,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt
111781670,950612,,PACIFIC VALLEY FARMS,"BOX 215, HIGHWAY 152",WATSONVILLE,CA,95076,A,0,N,S,161,0,F,D,C,,,,,,,,,143 PAULSEN ROAD,WATSONVILLE,CA,95076,N069    000008239,,10/27/92,3/28/08,10/27/92,11/17/92,2011-10-14 16:38:47 EDT
111781688,950612,,SAN JOSE RAE CO,201 SAN JOSE AVENUE,SAN JOSE,CA,95125,A,0,N,H,3111,0,B,A,,B,,,,,,,,,,,0,,15,10/28/92,,12/10/92,2/21/93,2011-10-14 16:38:47 EDT
111781696,950612,,S BAY HEALTH CENTER,101 SKYPORT,SAN JOSE,CA,95130,A,0,N,H,8021,0,B,A,,N,,,,,,,,,,,0,N069    000010044,90,10/29/92,4/3/08,11/3/92,11/17/92,2011-10-14 16:38:47 EDT
111781704,950612,,FRONTIER METALS,13575 SYCAMORE AVENUE,SAN MARTIN,CA,95046,A,0,N,S,1799,0,I,A,,B,,,,,,,,6 FREIGHT LANE,CHICO,CA,95926,,2,10/27/92,,10/27/92,2/21/93,2011-10-14 16:38:47 EDT
111781712,950612,,I. GARCIA,PEPPER FIELD AT INTERSECTION OF SYCAMORE & CHURCH,SAN MARTIN,CA,95046,A,0,N,S,161,0,H,A,,B,,,,,,,,500 WEST MIDDLE AVENUE,MORGAN HILL,CA,95037,,10,10/27/92,,10/27/92,2/21/93,2011-10-14 16:38:47 EDT
111781720,950612,,MEHL BERRY FARMS,SAN JUAN ROAD,WATSONVILLE,CA,95076,A,0,N,S,161,0,H,A,,N,,,,,,,,P O BOX 306,WATSONVILLE,CA,95077,N069    000020039,56,10/27/92,3/24/08,10/27/92,11/17/92,2011-10-14 16:38:47 EDT
111781829,950613,,CABRILLO FARMS INC.,CABRILLO HWY.,HALF MOON BAY,CA,94019,A,0,N,H,161,0,H,A,,Y,,,,,,,,845  MAIN STREET,HALF MOON BAY,CA,94019,,18,10/28/92,,10/28/92,7/12/94,2011-10-14 16:38:47 EDT
111781837,950612,,TEL-RITE,HORIZON CENTER 4 N 2ND STREET,SAN JOSE,CA,95113,A,0,N,H,1795,0,G,A,,N,,,,,,,,1518 PYRAMID COURT,SAN JOSE,CA,95130,,1,3/29/93,,4/15/93,3/9/94,2011-10-14 16:38:47 EDT
111781845,950613,,MARCHI RANCH,CABRILLO HWY.,PESCADERO,CA,95132,A,0,N,H,161,0,H,A,,N,,,,,,,,,,,0,,19,10/28/92,,10/28/92,5/10/94,2011-10-14 16:38:47 EDT
111781852,950612,,KEMPER SECURITIES INC.,2900 LAKESIDE,SANTA CLARA,CA,95054,A,0,N,H,6722,0,B,A,,N,,,,,,,,,,,0,N069    000008342,35,11/2/92,3/18/08,12/21/92,2/21/93,2011-10-14 16:38:47 EDT
111781860,950612,,DIGITAL EQUIPMENT CO.,2525 AUGUSTINE DRIVE,SANTA CLARA,CA,95054,A,0,N,H,3571,0,B,B,,N,,,,,,,,,,,0,,600,6/18/93,,6/18/93,7/22/93,2011-10-14 16:38:47 EDT
111781878,950612,,"APCOA, INC",1801 AIRPORT BLVD,SAN JOSE,CA,95110,A,0,N,H,7521,0,B,A,,Y,,,,,,,,,,,0,N069    000009315,90,7/14/93,5/25/07,9/20/93,5/25/07,2011-10-14 16:38:47 EDT
111781886,950612,,NORTH STAR AMBULANCE,2025 LAFAYETTE STREET,SANTA CLARA,CA,95050,A,0,N,H,9229,0,B,A,,N,,,,,,,,,,,0,N069    000008923,25,3/24/93,5/25/07,6/10/93,5/25/07,2011-10-14 16:38:47 EDT
111781894,950612,,MACY'S,2801 STEVENS CREEK BLVD.,SANTA CLARA,CA,95128,A,0,N,H,5311,0,B,B,,N,,,,,,,,2801 STEVENS CREEK BLVD,SANTA CLARA,CA,95128,N069    000003302,875,3/23/93,3/19/08,3/23/93,12/2/93,2011-10-14 16:38:47 EDT
111781902,950612,,MERCURY INS GROUP,2105 HAMILTON AVENUE #200,CAMPBELL,CA,95125,A,0,N,H,6321,0,B,A,,B,,,,,,,,,,,0,,55,10/6/92,,10/8/92,10/27/92,2011-10-14 16:38:47 EDT
111781910,950612,,PACIFIC VALLEY FARMS,"BOX 215, HIGHWAY 152",WATSONVILLE,CA,95076,A,0,N,S,161,0,F,A,,N,,,,,,,,143 PAULSEN ROAD,WATSONVILLE,CA,95076,,23,10/1/92,,10/1/92,3/3/94,2011-10-14 16:38:47 EDT
111781928,950612,,PACIFIC VALLEY FARMS,"BOX 215, HIGHWAY 152",WATSONVILLE,CA,95076,A,0,N,S,161,0,H,A,,N,,,,,,,,143 PAULSEN ROAD,WATSONVILLE,CA,95076,N069    000008239,45,10/1/92,3/28/08,10/1/92,10/6/92,2011-10-14 16:38:47 EDT
111781936,950612,,IGANAWA FARMS,MASTEN AVENUE,SAN MARTIN,CA,95046,A,0,N,S,161,0,H,A,,B,,,,,,,,MASTEN ROAD & CENTER ROAD,SAN MARTIN,CA,95046,,48,10/1/92,,10/1/92,10/6/92,2011-10-14 16:38:47 EDT
111781944,950612,,"LUCKY STORES, INC",3270 S WHITE ROAD,SAN JOSE,CA,95148,A,0,N,S,5411,0,A,A,,Y,,,,,,,,P.O. BOX 5008,SAN LEANDRO,CA,94577,,115,10/8/92,,10/23/92,3/9/94,2011-10-14 16:38:47 EDT
111781951,950612,,THE MOUNTAIN WINERY,14831 PIERCE ROAD,SARATOGA,CA,95070,A,0,N,S,2084,0,B,A,,N,,,,,,,,P O BOX 1852,SARATOGA,CA,95070,N069    000008258,9,10/15/92,6/18/08,10/15/92,12/27/94,2011-10-14 16:38:47 EDT
111781969,950612,,TARGET MASTERS,122 MINNIS CIRCLE,MILPITAS,CA,95035,A,0,N,S,7997,0,B,A,,N,,,,,,,,,,,0,N069    000007430,19,10/16/92,3/27/08,10/16/92,3/9/94,2011-10-14 16:38:47 EDT
111781977,950612,,BAYCOR  CONSTRUCTION,1110 PACIFIC AVENUE,SANTA CRUZ,CA,95062,A,0,N,S,1542,0,B,A,,B,,,,,,,,343 SOQUEL AVENUE,SANTA CRUZ,CA,95062,,8,10/22/92,,10/22/92,11/17/92,2011-10-14 16:38:47 EDT
111781985,950612,,SCHROEDER CONST. SERVICES,13575 SYCAMORE AVENUE,SAN MARTIN,CA,95046,A,0,N,S,1542,0,H,A,,B,,,,,,,,1301 CARTER ROAD,SACRAMENTO,CA,95864,,1,10/27/92,,10/27/92,11/18/92,2011-10-14 16:38:47 EDT
111781993,950612,,W. B. ELECTRIC,13575 SYCAMORE AVENUE,SAN MARTIN,CA,95046,A,0,N,S,1731,0,H,A,,B,,,,,,,,P O BOX 963,SAN MARTIN,CA,95046,,3,10/27/92,,10/27/92,2/5/93,2011-10-14 16:38:47 EDT
111782009,950612,,IMAGUNE BROS.,1020 E. SAN MARTIN AVENUE,SAN MARTIN,CA,95046,A,0,N,S,161,0,H,A,,B,,,,,,,,645 W. SAN MARTIN AVENUE,SAN MARTIN,CA,95046,,10,10/27/92,,10/27/92,11/17/92,2011-10-14 16:38:47 EDT
111782017,950612,,"FOUNDATION CONSTRUCTORS, INC.",58 N. AUTUM ST.,SAN JOSE,CA,95110,A,0,N,S,1629,0,H,A,,Y,,,,,,,,P.O. BOX 1020,ANTIOCH,CA,94509,N069    000004202,7,10/28/92,10/9/09,10/28/92,2/20/93,2011-10-14 16:38:47 EDT
111782025,950612,,ROUND TABLE PIZZA,4300 GREAT AMERICA PARKWAY,SANTA CLARA,CA,95054,A,0,N,S,5812,0,B,A,,B,,,,,,,,,,,0,,17,11/4/92,,11/4/92,2/5/93,2011-10-14 16:38:47 EDT
111782033,950612,,"C.J. PLASTERING AND STUCCO, INC.",3700 EL CAMINO,SANTA CLARA,CA,95051,A,0,N,S,1742,0,H,A,,N,,,,,,,,387 NEWMAN DRIVE,SOUTH SAN FRANCISCO,CA,94080,,2,11/5/92,,11/5/92,11/17/93,2011-10-14 16:38:47 EDT
111782041,950612,,VALLEY SHEET METAL,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1711,0,G,A,,Y,,,,,,,,222 3RD STREET,MARYVILLE,CA,95131,,6,9/30/92,,11/16/92,3/3/94,2011-10-14 16:38:47 EDT
111782058,950612,,RAYMOND INTERIORS SYSTEM NORTH,3000 BENTON STREET,SANTA CLARA,CA,95051,A,0,N,S,1751,0,G,A,,Y,,,,,,,,2440 SPRIG COURT,CONCORD,CA,94520,N069    000020999,25,9/30/92,3/28/08,11/16/92,3/9/94,2011-10-14 16:38:47 EDT
111782066,950612,,ADERHOLT,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1742,0,G,A,,Y,,,,,,,,1557 CUMMINGS DRIVE,MODESTO,CA,95351,,4,9/30/92,,11/16/92,3/9/94,2011-10-14 16:38:47 EDT
111782074,950612,,DALEY DRYWALL,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1742,0,G,A,,Y,,,,,,,,"74 DILLON AVENUE, SUITE D",CAMPBELL,CA,95008,,11,9/30/92,,11/16/92,3/3/94,2011-10-14 16:38:47 EDT
111782082,950612,,WALTERS & WOLFE,41450 BOSCELL RD,FREMONT,CA,94538,A,0,N,S,1793,0,G,A,,Y,,,,,,,,3201 HILLVIEW AVE,PALO ALTO,CA,94304,N069    000018718,25,9/30/92,3/27/08,11/16/92,3/9/94,2011-10-14 16:38:47 EDT
111782090,950612,,ADVANCE INTERIORS,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1751,0,G,A,,Y,,,,,,,,42200 BOSCELL ROAD,FREMONT,CA,94538,N069    000008520,9,9/30/92,9/3/14,11/16/92,3/3/94,2014-09-06 02:13:17 EDT
111782108,950612,,CASTRO PAINTING,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1721,0,G,A,,Y,,,,,,,,1987 LEGHORN DRIVE,MOUNTAIN VIEW,CA,94048,N069    000008519,10,9/30/92,6/14/07,11/16/92,3/9/94,2011-10-14 16:38:47 EDT
111782116,950612,,PECK AND HILLARD,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1771,0,G,A,,Y,,,,,,,,1965 LATHAM STREET,MOUNTAIN VIEW,CA,94043,,6,9/30/92,2/14/11,11/16/92,11/17/94,2011-10-14 16:38:47 EDT
111782124,950612,,MCNEAL ENTERPRISES,3445 DE LA CRUZ BLVD,SANTA CLARA,CA,95054,A,0,N,S,3089,0,B,A,,N,,,,,,,,,,,0,,26,11/23/92,,11/23/92,12/29/92,2011-10-14 16:38:47 EDT
111782132,950612,,ANACOMP CORPORATION,305 SOQUEL WAY,SUNNYVALE,CA,94086,A,0,N,S,3861,0,B,A,,B,,,,,,,,,,,0,,100,11/24/92,,12/9/92,12/24/92,2011-10-14 16:38:47 EDT
111782140,950612,,SPUTTERING MATERIALS,816 CHARCOT AVENUE,SAN JOSE,CA,95131,A,0,N,H,3479,0,B,A,,N,,,,,,,,816 CHARCOT STREET,SAN JOSE,CA,95131,,2,10/7/92,,11/16/92,3/3/94,2011-10-14 16:38:47 EDT
111782157,950612,,ZYLOG INC,210 HACIENDA AVE,CAMPBELL,CA,95008,A,0,N,H,7379,0,B,A,,B,,,,,,,,,,,0,,225,10/6/92,,10/23/92,2/5/93,2011-10-14 16:38:47 EDT
111782165,950612,,PRIMO PACKAGING,1740 #C JUNCTION,SAN JOSE,CA,95112,A,0,N,S,7381,0,B,A,,B,,,,,,,,,,,0,,25,10/5/92,,10/5/92,11/12/92,2011-10-14 16:38:47 EDT
111782173,950612,,"ARNE SIGN & DECAL CO., INC.",1701 LAWRENCE ROAD,SANTA CLARA,CA,95051,A,0,N,H,2752,0,B,A,,N,,,,,,,,,,,0,N069    000008326,5,10/14/92,9/3/14,11/25/92,2/21/93,2014-09-06 02:13:17 EDT
111782199,950612,,TEC/TEMPS,3380 KELLER STREET,SANTA CLARA,CA,95054,A,0,N,S,5162,0,A,A,,N,,,,,,,,2001 GATEWAY PLACE #350 E,SAN JOSE,CA,95110,,75,10/7/92,,10/7/92,3/9/94,2011-10-14 16:38:47 EDT
111782207,950612,,WESTINGHOUSE,401 E. HENDY AVENUE,SUNNYVALE,CA,94086,A,0,N,H,3499,0,B,A,,Y,,,,,,,,401 W. HENDY,SUNNYVALE,CA,94086,N069    000006092,1500,10/9/92,3/27/08,10/9/92,10/27/92,2011-10-14 16:38:47 EDT
111782215,950612,,"NATIONWIDE TRUCKING, INC",1675 ROGERS AVENUE,SAN JOSE,CA,95112,A,0,N,S,4231,0,B,A,,N,,,,,,,,,,,0,,7,10/8/92,,10/8/92,3/4/94,2011-10-14 16:38:47 EDT
111782223,950612,,TOM HOPKINS CONSTRUCTION,3171 MERIDAN AVENUE,SAN JOSE,CA,95125,A,0,N,S,1541,0,G,A,,B,,,,,,,,505 RIVER STREET/P O BOX 1888,SANTA CRUZ,CA,95061,,3,10/16/92,,10/16/92,10/27/92,2011-10-14 16:38:47 EDT
111782231,950612,,STONE AND CHENEY CORPOR,865 BLOSSOM HILL,SAN JOSE,CA,95123,A,0,N,S,1542,0,B,A,,N,,,,,,,,P O BOX 576038,MODESTO,CA,95357,,14,10/13/92,,10/13/92,9/20/93,2011-10-14 16:38:47 EDT
111782249,950612,,APEX PAINTING,865 BLOSSOM HILL,SAN JOSE,CA,95123,A,0,N,S,1721,0,H,A,,B,,,,,,,,P O BOX 5624,MODESTO,CA,95392,,5,10/13/92,,10/15/92,10/27/92,2011-10-14 16:38:47 EDT
111782256,950612,,TYLER REFRIGERATION,865 BLOSSOM HILL ROAD,SAN JOSE,CA,95123,A,0,N,S,1711,0,G,A,,A,,,,,,,,7888 MARATHORN DRIVE UNIT G,LIVERMORE,CA,94550,,5,10/13/92,,10/13/92,10/27/92,2011-10-14 16:38:47 EDT
111782272,950612,,GANCOS AND SONS,865 BLOSSOM HILL,SAN JOSE,CA,95123,A,0,N,S,1799,0,H,A,,B,,,,,,,,2133 LAS POSITAS COURT,LIVERMORE,CA,94550,,5,10/13/92,,10/13/92,2/21/93,2011-10-14 16:38:47 EDT
111782280,950612,,HOWARD WATT MASONRY,4770 SOQUEL AVENUE,SOQUEL,CA,95073,A,0,N,H,1522,0,B,A,,B,,,,,,,,3914 MELTON STREET,SOQUEL,CA,95073,,1,10/19/92,,11/12/92,12/24/92,2011-10-14 16:38:47 EDT
111782298,950612,,CARL'S JR.,1346 SARATOGA AVENUE,SAN JOSE,CA,95129,A,0,N,H,5812,0,B,A,,N,,,,,,,,4340 STEVENS CREEK BLVD. SUITE 112,SAN JOSE,CA,95129,N069    000008333,28,10/16/92,9/3/14,11/12/92,10/29/97,2014-09-06 02:13:17 EDT
111782306,950612,,KLAUERS PICK & PULL,1065 COMMERCIAL STREET,SAN JOSE,CA,95112,A,0,N,S,5093,0,B,A,,B,,,,,,,,,,,0,,20,10/15/92,,10/15/92,10/27/92,2011-10-14 16:38:47 EDT
111782314,950612,,RELIABLE CRANE AND RIGGING,3171 MERIDAN AVENUE,SAN JOSE,CA,95125,A,0,N,S,7353,0,B,D,C,A,,,,,,,,801 LINDBERG LANE,PETALUMA,CA,94952,,,10/16/92,,10/16/92,10/28/92,2011-10-14 16:38:47 EDT
111782322,950612,,LOMBARDO CONSTRUCTION CO,3171 MERIDAN AVENUE,SAN JOSE,CA,95125,A,0,N,S,1795,0,G,A,,A,,,,,,,,2225 DE LA CRUZ,SANTA CLARA,CA,95550,,2,10/16/92,,10/16/92,10/27/92,2011-10-14 16:38:47 EDT
111782330,950612,,SASCO/VALLEY ELECTRIC,1698 RINGWOOD DRIVE,SAN JOSE,CA,95131,A,0,N,S,1731,0,I,A,,Y,,,,,,,,2288 CHARLESTON ROAD,MOUNTAIN VIEW,CA,94043,N069    000007396,33,11/9/92,4/3/08,11/17/92,2/21/93,2011-10-14 16:38:47 EDT
111782348,950612,,ROLLIE FREACH INC.,10700 DE ANZA BLVD,CUPERTINO,CA,95014,A,0,N,S,1742,0,I,A,,B,,,,,,,,975 MABURY ROAD,SAN JOSE,CA,95133,,35,11/9/92,,11/16/92,2/1/93,2011-10-14 16:38:47 EDT
111782355,950612,,RAMCO CUSTOM HARVESTING CO.,RIVERSIDE RD.,SALINAS,CA,93901,A,0,N,S,161,0,H,A,,N,,,,,,,,P.O. BOX 5779,SALINAS,CA,93915,N069    000008264,14,9/25/92,3/28/08,9/25/92,10/2/92,2011-10-14 16:38:47 EDT
111782363,950612,,AIN PLASTICS OF CA,3380 KELLER STREET,SANTA CLARA,CA,95054,A,0,N,S,3089,0,G,A,,N,,,,,,,,,,,0,,21,10/8/92,,10/8/92,3/9/94,2011-10-14 16:38:47 EDT
