Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,10/22/11,10/5/11,Stovens Brothers Water Wells, Hampden, MA,1036,,,Worker drilling a hole for a well died after he stepped back and fell 10 feet down into water.
FY 2012,10/15/11,10/7/11,Soil & Material Testing, Williamstown, MA,1267,,,Worker was crushed under the front and rear tires of a powered industrial vehicle.
FY 2012,10/22/11,10/19/11,All-Town, Marshfield, MA,2050,,,Worker rotating truck tires was killed when one of the rings holding the tire in place struck him in the head.
FY 2012,10/22/11,10/18/11,Complete Coverage Inc., North Kingstown, RI,2852,,,Worker replacing a roof was killed after falling 47 feet.
FY 2012,10/29/11,10/25/11,American Building, Stamford, CT,6902,,,Worker installing metal roof panels died from head injuries after falling 35 feet to the ground.
FY 2012,10/29/11,10/25/11,EAL Fig LLC dba 5-Point Tire & Auto Repairs, Camden, NJ,8105,,,Worker was struck and killed when a tool disk struck him in the chest.
FY 2012,10/29/11,10/29/11,Anibal Landscaping Corp., Jamaica, NY,11435,,,Landscape worker riding in the back of a truck died from carbon monoxide fumes after he used a gas-powered lawn mower to keep warm.
FY 2012,10/29/11,10/20/11,NYSDOT Bridge Maintenance Shop, Warrensburg, NY,12885,,,Worker inspecting a bridge died after he was pinned between bridge and lift basket.
FY 2012,10/15/11,10/4/11,Gregory Dodge (DBA), Munnsville, NY,13409,,,Worker died from head injuries after falling from a roof.
FY 2012,10/15/11,10/7/11,Jeff Rotella Transport Corp., Manheim, PA,17545,,,Worker disconnecting an airline underneath a truck was asphyxiated when his head was caught between the spare tire and a bracket.
FY 2012,10/15/11,10/14/11,Visions Telecommunications, Pinch, WV,25156,,,Worker installing cable between utility poles was electrocuted.
FY 2012,10/22/11,10/17/11,Moores Contracting Services LLC, Buckhannon, WV,26201,,,Worker died after falling 35 feet through the doorway of a silo-type structure.
FY 2012,10/29/11,10/26/11,Simon Roofing and Sheet Metal Corp., Charlotte, NC,28262,,,Worker unclogging trash chute died after falling 40 feet when the chute collapsed.
FY 2012,10/29/11,10/25/11,Cumberland Garage and Trash Service, Fayetteville, NC,28306,,,Worker riding on rear of trash truck was killed when he fell under the truck traveling in reverse.
FY 2012,10/22/11,10/4/11,Klin Drying Systems and Components, Etowah, NC,28729,,,Worker operating a metal cutting machine was killed when caught between machine's back gauge and top plate.
FY 2012,10/22/11,10/13/11,Grove River Mills, Monroe, GA,30656,,,"Worker operating a truck's boom was electrocuted when the boom touched a 14,400-volt power line."
FY 2012,10/15/11,10/6/11,IRBY Construction Company, Sandersville, GA,31082,,,Worker assisting on a power transmission line was electrocuted when he touched a loose cable.
FY 2012,10/22/11,10/21/11,K.P. Meiring Company, St. Augustine, FL,32084,,,Worker repairing a roof died after stepping on a metal sheet that covered a hole and falling 20 feet.
FY 2012,10/29/11,10/24/11,Orestes Lescano, Miami, FL,33130,,,Worker installing weather stripping at an apartment building was killed after falling 40 feet.
FY 2012,10/29/11,10/22/11,Sante Shipping Lines, Miami, FL,33142,,,Worker inspecting a vessel's cargo from a suspended man basket died after equipment failure caused him to fall 18 feet to the ground.
FY 2012,10/29/11,10/16/11,Esther's 103, Miami, FL,33150,,,Worker trying to replace pumps inside a manhole collapsed and later died from exposure to toxic air.
FY 2012,10/22/11,10/13/11,Sams Discount Grocery, Tampa, FL,33610,,,Worker was shot and killed during a robbery.
FY 2012,10/29/11,10/20/11,Hilltop Tune, Pelham, AL,35124,,,Worker repairing an SUV was killed when the truck slipped into gear and ran over him.
FY 2012,10/15/11,10/5/11,Wayne Farms, Decatur, AL,35602,,,Worker was crossing a road on company property and was struck and killed by a vehicle.
FY 2012,10/22/11,10/17/11,PCH Hotels and Resorts, Mobile, AL,36602,,,Worker was electrocuted while repairing a hotel room air conditioning unit.
FY 2012,10/29/11,10/25/11,Dickson Dept. of Public Works, Dickson, TN,37055,,,Worker was struck ad killed by a falling tree limb.
FY 2012,10/22/11,10/13/11,Walden General Contractors Inc., Lebanon, TN,37090,,,Worker died after falling down a flight of stairs.
FY 2012,10/29/11,10/21/11,Lawrence Construction & Leasing, Florence, KY,41042,,,"Pipe layer was killed when a testing machine he was using swung around, striking him in the head."
FY 2012,10/22/11,10/2/11,The Associated Press, Sparta, KY,41086,,,Photographer on assignment at a race track suffered fatal head injuries after falling on track.
FY 2012,10/15/11,10/7/11,B & B Contracting, Paintsville, KY,41240,,,Worker traveling to another work location fell out of back of truck and struck head on ground.
FY 2012,10/15/11,10/10/11,Roger Kreps Drywall & Plaster, Lisbon, OH,44432,,,Worker died after falling 14 feet from a roof onto the concrete floor.
FY 2012,10/29/11,10/23/11,Quality Castings, Orrville, OH,44667,,,Worker using a wheelabrator machine died of complications sustained when his finger was amputated.
FY 2012,10/15/11,10/6/11,Dean A. Bowman, Troy, OH,45373,,,Worker performing indoor construction died when he fell nearly 20 feet from the second floor to the basement.
FY 2012,10/15/11,10/12/11,Centimark Corporation, Lima, OH,45804,,,Worker was performing roofing work on a melt shop and was fatally injured.
FY 2012,10/15/11,10/7/11,Airtite Insulation, Goshen, IN,46528,,,Worker suffocated after falling into a pit of insulation.
FY 2012,10/29/11,10/25/11,Nucor, Crawfordsville, IN,47933,,,Worker was run over and killed by machine.
FY 2012,10/22/11,10/13/11,Walker Police/Fire Department, Walker, MI,49534,,,Police Officer laying a spike strip was run over and killed by suspect vehicle during police chase.
FY 2012,10/22/11,9/30/11,Art Rodriguez, Colfax, IA,50054,,,Roof worker died when he fell 20 feet after stepping on a fiberglass skylite.
FY 2012,10/22/11,10/15/11,W.A. Klinger, Sioux City, IA,51104,,,"Construction worker died from fatal head trauma when a wall collapsed, crushing him."
FY 2012,10/15/11,10/12/11,L & D Sign, Centreville, MN,55038,,,Worker repairing commercial sign was electrocuted after touching live electrical parts.
FY 2012,10/15/11,10/13/11,Egan Company, Burnsville, MN,55337,,,One worker killed and one injured after being struck by a vehicle that entered a construction zone after going off road.
FY 2012,10/22/11,10/19/11,Blackowiak Disposal Inc., Mound, MN,55364,,,Worker removing debris from back of trash truck was crushed between truck's cart tipper and the loading dock.
FY 2012,10/29/11,10/18/11,Advantage Plumbing & Heating, Mencken, ND,58558,,,Trench engulfment.
FY 2012,10/29/11,10/19/11,Midco Diving & Marine Services, Parshall, ND,58770,,,Water treatment plant worker diving into a 138-foot-deep chamber to perform maintenance died after his umbilical line failed.
FY 2012,10/29/11,10/20/11,Metro Construction, Mckenzie, ND,58854,,,Truck driver hauling gravel was killed when his truck tipped over.
FY 2012,10/15/11,10/8/11,Mondi USA, Romeoville, IL,60446,,,Worker lubricating a chain on an automation conveyor died after falling 9 feet from an I-beam to the concrete floor.
FY 2012,10/15/11,10/10/11,Unnerstall Contracting Co., St. Louis, MO,63146,,,Worker was found unconscious in a manhole.
FY 2012,10/15/11,10/10/11,Gulf Island, Houma, LA,70361,,,Worker was killed when a load of metal plates he was moving fell on top of him.
FY 2012,10/29/11,10/28/11,Harris Quality Inc., Fort Worth, TX,76140,,,Worker was found crushed between truck and loading dock.
FY 2012,10/15/11,10/10/11,Woodhaven Industries, Sugar Land, TX,77498,,,Worker died of a possible heart attack after collapsing while unloading his work truck.
FY 2012,10/29/11,10/21/11,Hilario Valero, San Antonio, TX,78245,,,Worker applying siding on a chimney died after falling 18 feet.
FY 2012,10/15/11,10/6/11,Kelley Trucking, Bailey, CO,80421,,,Worker was struck and killed by a rock while at a construction site.
FY 2012,10/15/11,9/29/11,Greenes, Draper, UT,84020,,,Worker hit and killed by dump truck while removing temporary traffic control barrels.
FY 2012,10/29/11,10/15/11,Boat Grotto, San Diego, CA,92115,,,Mechanic died from possible aneurism and heart attack after making repairs to boat engine.
FY 2012,10/15/11,9/26/11,Kenai Drilling Limited, Ventura, CA,93001,,,Worker was crushed by a piece of drill equipment while working in oilfields.
FY 2012,10/15/11,10/12/11,Community Recycling and Resource Recovery, Lamont, CA,93241,,,Worker died after being overcome by toxic fumes while cleaning the inside of a drain pipe.
FY 2012,10/15/11,10/12/11,Granite Rock Concrete, La Honda, CA,94020,,,Worker was killed when the loaded concrete mixer truck he was driving rolled over.
FY 2012,10/29/11,10/25/11,G & S Paving, Palo Alto, CA,94304,,,Worker was run over by a semi-truck traveling in reverse.
FY 2012,10/29/11,10/17/11,Cherokee Freight Lines Stockton, St. Helena, CA,94574,,,"Worker tripped and fell while walking on job site, hitting his head on a step. Worker later suffered a heart attack at hospital."
FY 2012,10/22/11,10/19/11,Performance Abatement Service, Berkeley, CA,94709,,,Worker in full suit and mask died from a seizure while removing asbestos.
FY 2012,10/15/11,10/13/11,General Mills, Lodi, CA,95242,,,Worker attempting to stop a moving railcar was crushed between railcar and dock.
FY 2012,10/22/11,10/20/11,Calpine, Middletown, CA,95461,,,Worker went off a cliff.
FY 2012,10/22/11,10/20/11,Mark Dewsnup, Marysville, CA,95901,,,Worker was killed after he was run over by a farm tractor.
FY 2012,10/15/11,10/13/11,PG & E, Bolden, CA,95915,,,Two workers died after their work truck sank 25 feet in a reservoir.
FY 2012,10/29/11,10/3/11,Landmark Pacific Builders Inc., Honolulu, HI,96817,,,Residential construction worker renovating roof died after falling two stories.
FY 2012,10/29/11,10/22/11,A-1 Self Storage LLC, Seattle, WA,98119,,,Manager of self storage facility was stabbed during a robbery.
FY 2012,10/15/11,9/15/11,LVI Environmental Services, Seattle, WA,98121,,,Worker removing debris with skid loader died when punctured in the neck by protruding rebar.
FY 2012,10/15/11,9/19/11,Furrer Construction Inc., Woodland, WA,98674,,,Worker pressure washing exterior of silo was electrocuted after contacting a high voltage line.
FY 2012,10/15/11,10/4/11,Novelis Corporation, Oswego, NY,13126,,,Worker was connecting hoses inside a machine and was crushed between the machine's support block and bulkhead.
FY 2012,11/5/11,10/29/11,Bartlett Grain Company, Atchison,KS,66002,,,Four workers were killed in a grain elevator explosion and fire.
FY 2012,1/7/12,12/30/11,Hammacher, West Chester,OH,45069,,,Worker died after slipping and falling off a commercial building roof.
FY 2012,8/18/12,8/16/12,Hammett Electric Inc., Wooster,AK,72181,,,Worker was electrocuted while installing wiring at a residence under construction.
FY 2012,7/7/12,6/21/12,Rosiek Construction Co., Blytheville,AK,72315,,,Worker performing construction activities collapsed and died from possible heat stress.
FY 2012,11/12/11,11/3/11,Trucano Construction Company, Juneau,AK,99801,,,Worker loading construction equipment died when he was caught between a toppled crane and a railing off the deck barge.
FY 2012,3/31/12,3/13/12,Alaska Heliskiing LLC, Hanes,AK,99827,,,Worker at a snow ski resort was buried under nearly eight feet of snow after an avalanche.
FY 2012,9/8/12,8/11/12,Phoenix Logging Company, Prince of Wales Island,AK,99922,,,Worker banding together logs was struck and killed by a falling log.
FY 2012,3/3/12,2/22/12,Alabama Forklift & Repair Inc., Clanton,AL,35045,,,Worker trying to remove the oil filter from underneath a forklift was killed when the jack used to elevate the forklift fell on him.
FY 2012,3/24/12,3/6/12,Daniel Smith, Holly Pond,AL,35083,,,Worker performing logging operations died from head injuries after being struck by a tree.
FY 2012,9/8/12,9/2/12,AJ's Transport LLC, Lincoln,AL,35096,,,Employee was crushed when a jack supporting a tractor trailer failed causing the trailer to fall on him.
FY 2012,6/9/12,6/1/12,Beasley Timber Co. Inc., Birmington,AL,35207,,,Worker unloading bundles of wood was killed when one of the bundles fell on him.
FY 2012,3/3/12,2/2/12,Southland Tube Inc., Birmingham,AL,35234,,,"Worker loading steel coils onto an uncoiler died after being found with his head caught between 14,000-pound coils."
FY 2012,7/14/12,7/6/12,West Alabama Mechanical, Tuscaloosa,AL,35404,,,Worker operating a crane was struck by the machine's gear box and pump when crane tipped over.
FY 2012,9/8/12,9/5/12,Tidco Transportation Inc., Double Springs,AL,35553,,,Emplyoyee died due to tractor trailer falling on him when the support jack failed.
FY 2012,3/10/12,3/3/12,Tire Centers LLC, Decatur,AL,35601,,,Worker repairing an off-road tire was killed when the multi-piece rim exploded and struck him.
FY 2012,7/28/12,7/16/12,J.C. Hamm & Sons, Florence,AL,35630,,,Worker changing a filter in an attic died of a possible electrocution.
FY 2012,12/17/11,12/8/11,The Davey Tree Expert Company, Pratville,AL,36067,,,Worker was trimming around power lines when he was struck and killed by a falling limb.
FY 2012,2/4/12,1/25/12,Delta Properties LLC, Tallassa,AL,36078,,,Worker demolishing a single story structure was killed when the structure collapsed.
FY 2012,6/2/12,5/16/12,C & M Tree Experts, Dothan,AL,36301,,,Worker performing tree trimming operations died after falling 60 feet.
FY 2012,4/21/12,4/16/12,Precision Erection Company, Fort Rucker,AL,36362,,,Worker performing new construction was struck and killed by a collapsing steel structure.
FY 2012,9/22/12,9/26/12,Advanced Recycling Center, Brewton,AL,36426,,,Worker was crushed when bucket of skid loader fell on him when he crawled under machine to disconnect a hydraulic line.
FY 2012,9/29/12,9/26/12,Advanced Recycling Center, Brewton,AL,36426,,,Worker was crushed when bucket of skid loader fell on him when he crawled under machine to disconnect a hydraulic line.
FY 2012,12/3/11,11/30/11,Inoxum, Calvert,AL,36513,,,Worker operating an overhead crane connected to a roll of steel was crushed between falling and stationary rolls of steel placed in the layout area.
FY 2012,3/10/12,3/6/12,National Steel City LLC, Calvert,AL,36513,,,Worker installing duct work in building under construction died after falling 60 feet.
FY 2012,2/4/12,12/29/11,CSA Equipment Company LLC, Mobile,AL,36601,,,"Worker performing inventory of steel coils was killed after being pinned between a 21,000 pound steel roll and a forklift's counterweight."
FY 2012,3/31/12,3/24/12,Fire Brick Engineers Company Inc., Marlon,AL,36756,,,Worker replacing the lining of a furnace was crushed between the cleaning equipment and wall. Equipment had not been locked out.
FY 2012,3/17/12,2/27/12,Gulf Equipment Corporation, Auburn,AL,36849,,,Worker performing duties inside a highway construction zone was struck and killed by a passenger vehicle.
FY 2012,4/21/12,4/9/12,Doyon Drilling Inc., Prudhoe Bay,AL,99734,,,Worker performing rig operations offshore died after he was caught between a pipe elevator support and a generator room wall.
