incident_date,company,city,state,zipcode
3/20/15,Jovan,Aguadilla,PR,00603
2/16/10,Municipio de Utuado,Utuado,PR,00641
7/16/12,JR Sheet Metal Manufacturing Inc.,Caguas,PR,00646
4/9/13,Waste Landfill Recycling Services,Guanica,PR,00653
2/27/10,Mercados Bakery,Lajas,PR,00667
3/14/10,AEE Tecnica de Aguadilla,Moca,PR,00676
2/4/11,Caribe General Constructors,Mayaguez,PR,00680
8/12/11,ACJ Construction Corp,Mayaguez ,PR,00680
11/7/11,OAS Rigging Crane Corp,Mayaguez,PR,00680
10/26/09,Cemeterio Mayaguez Memorial inc.,Mayaguez ,PR,00681
9/6/13,Scrap Metal Recycling Inc.,Vegas Baja,PR,00693
3/29/10,JAF Company Telephone Contractor,Yauco,PR,00698
6/10/11,Autoridad de Energia Electrica de Puerto Rico,Aguirre,PR,00704
11/9/12,Municipio de Maunabo Obras Publicas,Maunabo,PR,00707
6/18/13,Optima Contratista General,Ponce,PR,00716
6/28/11,AEE Oficina Tecnica Humacao,Nagvabo,PR,00718
11/30/09,AAA Planta Regional de Caguas,Caguas,PR,00725
8/22/12,Aireko Construction Corporation,Caguas,PR,00725
1/11/10,Criminal Task Investigation Inc,Caguas,PR,00726
12/8/11,Best Way Transport Inc.,Cayey,PR,00736
7/21/10,AEE Tecnica de Cayey,Cayey,PR,00737
3/14/15,AIREKO Construction Corp.,Fajardo,PR,00738
1/21/13,LPC & D Inc.,Rio Grande,PR,00745
10/3/12,Consolidated Waste Services Corp,Salinas,PR,00751
12/3/12,Empresas Diaz Betterecycling Corp.,Salinas,PR,00751
6/24/13,Municipio de Vieques Sancamiento y Salud,Vieques,PR,00765
2/24/12,Equipos de Bequeron,Las Piedras,PR,00771
4/19/13,Century Packing Corporation,Las Piedras,PR,00771
12/4/12,Primera Iglesia Bautista de Juncos Inc.,Juncos,PR,00777
1/27/10,Borinquen Metal Scrap Corp.,Gurabo,PR,00778
11/13/14,AEE,Comerio,PR,00782
12/16/11,Frank Carradero,Humacao,PR,00791
2/24/10,B K D Construction Inc.,Juana Diaz,PR,00795
6/17/10,Virgin Islands Paving,St. Thomas,VI,00801
2/8/12,Boneville Group Virgin Islands,Frederiksted,VI,00840
10/1/09,International Shipping Agency inc.,San Juan,PR,00902
7/30/10,Crowley Puerto Rico Services inc.,San Juan,PR,00902
10/12/09,Hill Construction Corp.,San Juan,PR,00908
3/11/10,AEE Tecnica de Rio Piedras,Santurce,PR,00908
1/24/12,Redcom General Contractor,San Juan,PR,00908
4/13/15,Consolidated Waste Services Corp.,San Juan,PR,00909
7/21/09,Marino Construction,San Juan,PR,00918
5/15/13,Independent Roofers and General Contractor Corp.,Hato Rey,PR,00918
4/9/12,Ferreteria Maderas 3C,San Juan,PR,00920
7/11/16,Island Stevedoring Inc,Puerto Nuevo,PR,00920
6/27/11,Sepulveda Air Conditioning,San Juan,PR,00925
5/31/11,Bermudez Longo Diaz-Masso LLC,San Juan,PR,00926
1/12/11,AEE Palo Seco,Toa Baja,PR,00949
6/5/11,Total Canopy Camuy Caves,Guaynabo,PR,00969
10/14/09,Maderera Donestevez Inc.,Carolina,PR,00979
10/14/09,Maderera Donestevez Inc.,Carolina,PR,00979
5/23/16,Stellato Bros Inc.,East Longmeadow,MA,01028
10/5/11,Stovens Brothers Water Wells,Hampden,MA,01036
6/10/15,Palmer Paving Corporation,Holyoke,MA,01040
11/17/10,TLC Exteriors,South Hadley,MA,01075
3/23/11,Fuentes Enterprises,West Springfield,MA,01089
1/11/12,Dmitry Ivanov,West Springfield,MA,01089
2/12/11,Advanced Tree Service,Springfield,MA,01103
7/31/15,A. Martins & Son Construction Inc.,Longmeadow,MA,01106
9/16/10,LeBron's Construction,Springfield,MA,01107
9/21/11,Yellow Brick Properties,Springfield,MA,01109
10/7/11,Soil & Material Testing,Williamstown,MA,01267
5/24/16,Tro-Con Corporation,Phillipston,MA,01331
5/17/10,C.D. Davenport inc.,Northfield,MA,01360
8/19/10,United Personnel,South Deerfield,MA,01373
3/27/10,Creative Biomass Inc.,Fitchburg,MA,01420
4/7/16,Justin Bergeron,Leominster,MA,01453
7/6/12,Brookside Farms Inc.,West Townsend,MA,01474
1/23/15,128 Highland St. Berlin,,MA,01503
11/7/11,Horn Packaging Corporation,Lancaster,MA,01523
1/17/17,Medford Wellington Service Co Inc.,MILLBURY,MA,01527
10/16/09,Borggard Construction Corporation,Northboro,MA,01532
12/11/14,Jack Cooper Transport,Spencer,MA,01562
2/11/15,Sturbridge Service Center,Sturbridge,MA,01566
10/2/15,Bigge Crane & Rigging Co. ,Webster,CA,01570
5/22/16,Tom Berkowitz Trucking Inc.,Whitinsville,MA,01588
11/2/15,Construction For You LLC,Worcester,MA,01610
2/28/17,Trader Joes,ACTON,MA,01720
8/20/13,Ahronian Landscaping & Design Inc.,Holliston,MA,01746
9/1/13,Labor Ready,Burlington,MA,01803
12/1/09,United Industrial Services,Chelmsford,MA,01824
9/26/11,GreenLeaf's Tree Service,Chelmsford,MA,01824
12/24/12,Ken Plante's Tree Removal,Haverhill,MA,01830
9/29/16,MIRRA CO Inc,Georgetown,MA,01833
7/12/11,Russell Disposal Inc.,Methuen,MA,01844
1/7/16,Rohm-Haas Electronics Material LLC,North Andover,MA,01845
10/24/16,JB Home & Commercial Repair,"Lowell,",MA,01850
2/6/15,Innovative Fabrication Inc.,Lowell,MA,01851
1/29/11,Lowell Transitional Living Center Inc.,Lowell,MA,01852
11/22/16,Nashoba Hill Corp.,WESTFORD,MA,01886
11/19/11,SEI Aaron's,Lynn,MA,01901
4/18/13,BTT Marine Construction Co. LLC,Lynn,MA,01901
1/7/16,Paramount Development Inc,Lynn,MA,01901
7/19/15,Wash Depot Holdings Inc.,Malden,MA,01906
11/13/10,Victor Sosa Construction,Salem,MA,01915
11/11/16,Brown's Yacht Yard Inc.,GLOUCESTER,MA,01930
7/12/11,Essex Newbury Contracting Services Corp.,Newbury,MA,01951
11/28/14,Waste Support Services LLC,Peabody,MA,01960
3/21/17,Baystate Building & Remodeling Inc.,SALEM,MA,01970
2/22/15,Sean Corrigan Construction,Canton,MA,02021
8/10/16,NRG Services Inc,Canton,MA,02021
6/13/11,Showcase Cinema Deluxe,Dedham,MA,02026
10/19/11,All-Town,Marshfield,MA,02050
4/13/17,Contract Framing Builders Inc.,NORWOOD,MA,02062
9/4/16,Hallamore Corp,Boston,MA,02118
4/13/13,Feeney Brothers Excavation LLC,Dorchester,MA,02121
11/19/09,West Selden Construction,Boston,MA,02122
11/8/16,"Rockwell Roofing,Inc.",DORCHESTER,MA,02125
12/28/09,SMM Business Corp. dba Tedes Chi Food Shop Jamaica Plein,,MA,02130
11/25/14,Erik Zutrau,Jamaica Plain,MA,02130
9/1/10,Dominos Pizza,Hyde Park,MA,02136
1/23/13,C.J. Mabardy Inc.,Cambridge,MA,02138
7/11/12,Far East Construction Inc.,Cambridge,MA,02139
2/26/16,44 Powder House Boulevard,SOMERVILLE,MA,02143
6/11/15,Liberty Construction LLC,Somerville,MA,02145
12/9/10,Shawn Smith Contracting,Everett,MA,02149
2/1/11,O'Connor Corporation,Everett,MA,02149
1/20/11,North Suffolk Mental Health Association,Revere,MA,02151
8/13/15,Caruso Construction and Equipment Company Inc.,Revere,MA,02151
5/16/11,Mullins Marine Service,Winthrop,MA,02152
6/3/11,Kilderry Painting,Winthrop,MA,02152
6/28/16,Hi-Way Safety Systems Inc,Medford,MA,02153
2/9/15,Whole Foods Bread & Circus Bakehouse,Medford,MA,02155
9/17/15,Martignetti Companies,Braintree,MA,02184
11/17/09,Enterprise Holdings,Weymouth,MA,02188
7/12/10,Boston University,Boston,MA,02218
10/23/09,David Gooding Inc.,Brockton,MA,02302
11/29/10,Kevin Leary,Duxbury,MA,02332
11/19/16,Dan Orwig,DUXBURY,MA,02332
7/28/11,Jeremiah O'Mahony Paint Company,Abington,MA,02351
7/23/13,Diaz Construction Co. Inc.,Plymouth,MA,02360
6/30/15,P.A. Landers,Plymouth,MA,02360
10/31/16,Hi-Way Safety Systems Incorporated,"Rockland,",MA,02370
3/23/17,Shannon Gutter Services,WALTHAM,MA,02451
