code,description
0111,Wheat
0112,Rice
0115,Corn
0116,Soybeans
0119,"Cash grains, nec"
0131,Cotton
0132,Tobacco
0133,Sugarcane and sugar beets
0134,Irish potatoes
0139,"Field crops, except cash grain"
0161,Vegetables and melons
0171,Berry crops
0172,Grapes
0173,Tree nuts
0174,Citrus fruits
0175,Deciduous tree fruits
0179,"Fruits and tree nuts, nec"
0181,Ornamental nursery products
0182,Food crops grown under cover
0191,"General farms, primarily crop"
0211,Beef cattle feedlots
0212,"Beef cattle, except feedlots"
0213,Hogs
0214,Sheep and goats
0219,"General livestock, nec"
0241,Dairy farms
0251,"Broiler, fryer, and roaster chickens"
0252,Chicken eggs
0253,Turkeys and turkey eggs
0254,Poultry hatcheries
0259,"Poultry and eggs, nec"
0271,Fur-bearing animals and rabbits
0272,Horses and other equines
0273,Animal aquaculture
0279,"Animal specialties, nec"
0291,"General farms, primarily animals"
0711,Soil preparation services
0721,Crop planting and protection
0722,Crop harvesting
0723,Crop preparation services for market
0724,Cotton ginning
0741,Veterinary services for livestock
0742,"Veterinary services, specialties"
0751,"Livestock services, except veterinary"
0752,Animal specialty services
0761,Farm labor contractors
0762,Farm management services
0781,Landscape counseling and planning
0782,Lawn and garden services
0783,Ornamental shrub and tree services
0811,Timber tracts
0831,Forest products
0851,Forestry services
0912,Finfish
0913,Shellfish
0919,Miscellaneous marine products
0921,Fish hatcheries and preserves
0971,"Hunting, trapping, game propagation"
1011,Iron ores
1021,Copper ores
1031,Lead and zinc ores
1041,Gold ores
1044,Silver ores
1061,"Ferroalloy ores, except vanadium"
1081,Metal mining services
1094,Uranium-radium-vanadium ores
1099,"Metal ores, nec"
1221,Bituminous coal and lignite-surface mining
1222,Bituminous coal-underground mining
1231,Anthracite mining
1241,Coal mining services
1311,Crude petroleum and natural gas
1321,Natural gas liquids
1381,Drilling oil and gas wells
1382,Oil and gas exploration services
1389,"Oil and gas field services, nec"
1411,Dimension stone
1422,Crushed and broken limestone
1423,Crushed and broken granite
1429,"Crushed and broken stone, nec"
1442,Construction sand and gravel
1446,Industrial sand
1455,Kaolin and ball clay
1459,"Clay and related minerals, nec"
1474,"Potash, soda, and borate minerals"
1475,Phosphate rock
1479,Chemical and fertilizer mining
1481,Nonmetallic mineral services
1499,Miscellaneous nonmetallic mining
1521,Single-family housing construction
1522,"Residential construction, nec"
1531,Operative builders
1541,Industrial buildings and warehouses
1542,"Nonresidential construction, nec"
1611,Highway and street construction
1622,"Bridge, tunnel, and elevated highway"
1623,"Water, sewer, and utility lines"
1629,"Heavy construction, nec"
1711,"Plumbing, heating, air-conditioning"
1721,Painting and paper hanging
1731,Electrical work
1741,Masonry and other stonework
1742,"Plastering, drywall, and insulation"
1743,"Terrazzo, tile, marble, mosaic work"
1751,Carpentry work
1752,"Floor laying and floor work, nec"
1761,"Roofing, siding, and sheetmetal work"
1771,Concrete work
1781,Water well drilling
1791,Structural steel erection
1793,Glass and glazing work
1794,Excavation work
1795,Wrecking and demolition work
1796,Installing building equipment
1799,"Special trade contractors, nec"
2011,Meat packing plants
2013,Sausages and other prepared meats
2015,Poultry slaughtering and processing
2021,Creamery butter
2022,Cheese; natural and processed
2023,"Dry, condensed, evaporated products"
2024,Ice cream and frozen deserts
2026,Fluid milk
2032,Canned specialties
2033,Canned fruits and specialties
2034,"Dehydrated fruits, vegetables, soups"
2035,"Pickles, sauces, and salad dressings"
2037,Frozen fruits and vegetables
2038,"Frozen specialties, nec"
2041,Flour and other grain mill products
2043,Cereal breakfast foods
2044,Rice milling
2045,Prepared flour mixes and doughs
2046,Wet corn milling
2047,Dog and cat food
2048,"Prepared feeds, nec"
2051,"Bread, cake, and related products"
2052,Cookies and crackers
2053,"Frozen bakery products, except bread"
2061,Raw cane sugar
2062,Cane sugar refining
2063,Beet sugar
2064,Candy and other confectionery products
2066,Chocolate and cocoa products
2067,Chewing gum
2068,Salted and roasted nuts and seeds
2074,Cottonseed oil mills
2075,Soybean oil mills
2076,"Vegetable oil mills, nec"
2077,Animal and marine fats and oils
2079,Edible fats and oils
2082,Malt beverages
2083,Malt
2084,"Wines, brandy, and brandy spirits"
2085,Distilled and blended liquors
2086,Bottled and canned soft drinks
2087,"Flavoring extracts and syrups, nec"
2091,Canned and cured fish and seafoods
2092,Fresh or frozen packaged fish
2095,Roasted coffee
2096,Potato chips and similar snacks
2097,Manufactured ice
2098,Macaroni and spaghetti
2099,"Food preparations, nec"
2111,Cigarettes
2121,Cigars
2131,Chewing and smoking tobacco
2141,Tobacco stemming and redrying
2211,"Broadwoven fabric mills, cotton"
2221,"Broadwoven fabric mills, manmade"
2231,"Broadwoven fabric mills, wool"
2241,Narrow fabric mills
2251,"Women's hosiery, except socks"
2252,"Hosiery, nec"
2253,Knit outerwear mills
2254,Knit underwear mills
2257,Weft knit fabric mills
2258,Lace and warp knit fabric mills
2259,"Knitting mills, nec"
2261,"Finishing plants, cotton"
2262,"Finishing plants, manmade"
2269,"Finishing plants, nec"
2273,Carpets and rugs
2281,Yarn spinning mills
2282,Throwing and winding mills
2284,Thread mills
2295,"Coated fabrics, not rubberized"
2296,Tire cord and fabrics
2297,Nonwoven fabrics
2298,Cordage and twine
2299,"Textile goods, nec"
2311,Men's and boy's suits and coats
2321,Men's and boy's furnishings
2322,Men's and boy's underwear and nightwear
2323,Men's and boy's neckwear
2325,Men's and boy's trousers and slacks
2326,Men's and boy's work clothing
2329,"Men's and boy's clothing, nec"
2331,Women's and misses' blouses and shirts
2335,"Women's, junior's, and misses' dresses"
2337,Women's and misses' suits and coats
2339,"Women's and misses' outerwear, nec"
2341,Women's and children's underwear
2342,"Bras, girdles, and allied garments"
2353,"Hats, caps, and millinery"
2361,"Girl's and children's dresses, blouses"
2369,"Girl's and children's outerwear, nec"
2371,Fur goods
2381,Fabric dress and work gloves
2384,Robes and dressing gowns
2385,Waterproof outerwear
2386,Leather and sheep-lined clothing
2387,Apparel belts
2389,"Apparel and accessories, nec"
2391,Curtains and draperies
2392,"Household furnishings, nec"
2393,Textile bags
2394,Canvas and related products
2395,Pleating and stitching
2396,Automotive and apparel trimmings
2397,Schiffli machine embroideries
2399,"Fabricated textile products, nec"
2411,Logging
2421,"Sawmills and planing mills, general"
2426,Hardwood dimension and flooring mills
2429,"Special product sawmills, nec"
2431,Millwork
2434,Wood kitchen cabinets
2435,Hardwood veneer and plywood
2436,Softwood veneer and plywood
2439,"Structural wood members, nec"
2441,Nailed wood boxes and shook
2448,Wood pallets and skids
2449,"Wood containers, nec"
2451,Mobile homes
2452,Prefabricated wood buildings
2491,Wood preserving
2493,Reconstituted wood products
2499,"Wood products, nec"
2511,Wood household furniture
2512,Upholstered household furniture
2514,Metal household furniture
2515,Mattresses and bedsprings
2517,Wood television and radio cabinets
2519,"Household furniture, nec"
2521,Wood office furniture
2522,"Office furniture, except wood"
2531,Public building and related furniture
2541,Wood partitions and fixtures
2542,"Partitions and fixtures, except wood"
2591,Drapery hardware and blinds and shades
2599,"Furniture and fixtures, nec"
2611,Pulp mills
2621,Paper mills
2631,Paperboard mills
2652,Setup paperboard boxes
2653,Corrugated and solid fiber boxes
2655,"Fiber cans, drums, and similar products"
2656,Sanitary food containers
2657,Folding paperboard boxes
2671,Paper; coated and laminated packaging
2672,"Paper; coated and laminated, nec"
2673,"Bags: plastic, laminated, and coated"
2674,Bags: uncoated paper and multiwall
2675,Die-cut paper and board
2676,Sanitary paper products
2677,Envelopes
2678,Stationery products
2679,"Converted paper products, nec"
2711,Newspapers
2721,Periodicals
2731,Book publishing
2732,Book printing
2741,Miscellaneous publishing
2752,"Commercial printing, lithographic"
2754,"Commercial printing, gravure"
2759,"Commercial printing, nec"
2761,Manifold business forms
2771,Greeting cards
2782,Blankbooks and looseleaf binders
2789,Bookbinding and related work
2791,Typesetting
2796,Platemaking services
2812,Alkalies and chlorine
2813,Industrial gases
2816,Inorganic pigments
2819,"Industrial inorganic chemicals, nec"
2821,Plastics materials and resins
2822,Synthetic rubber
